"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10900,2011,15,104,119,37,129,2252,2001,99,0.888543517,0.043960924,100,12.6784214945424,87.4055415617128,5.28395719550642,15.1362260343088,5.19714157213533,0.100002194633485,1.32650922178836,2.37358425079018,-0.155228465795517,-1.82767999172211,0.102816253900528
10900,2012,13,65,79,37,129,2197,2040,71,0.928538917,0.032316796,100,16.5613147914033,82.3008849557522,3.59564880979473,18.2841068917018,3.18611832753296,0.10000142135906,1.59744983943683,1.45519280857693,-0.177993804216385,-0.0219407342374325,-0.146519348025322
10900,2013,6,53,59,37,129,2352,2137,118,0.908588435,0.050170068,100,10.321489001692,89.8477157360406,2.50839675183878,5.08044030482642,2.47999625660942,0.100001136412449,0.445802295688874,1.13279893696947,0.514689385890961,-0.626059949398041,0.841586232185364
10900,2014,15,40,55,37,129,2463,2215,156,0.899309785,0.063337393,100,27.4047186932849,72.7767695099818,2.23295846697251,9.60922485586163,1.80578754909485,0.1000011093632,0.844552110891871,0.824898349973566,-0.404562592506409,-0.0543177276849747,-0.259959191083908
10900,2015,11,54,66,37,129,2362,1947,298,0.824301439,0.126164268,100,16.7927382753404,81.8456883509834,2.79412387282503,3.690036900369,2.77335524626367,0.100001276645982,0.325089508663847,1.26653944406219,-0.605656206607819,-1.46073126792908,-0.427567303180695
10900,2016,24,70,95,37,129,2256,1896,300,0.840425532,0.132978723,100,25.34174553102,73.7118822292324,4.21080625858783,7.99733422192602,3.6917884077844,0.100001755130262,0.704571507795422,1.68586665129823,4.46230459213257,6.77442216873169,-0.0877358168363571
10900,2017,27,107,136,37,129,2470,1969,336,0.797165992,0.136032389,100,19.9118295371051,78.6921381337252,5.50584996558844,8.0333234156501,5.43395459854756,0.10000275094885,0.707939592234655,2.48164899155396,0.838031530380249,0.746593534946442,1.38755249977112
10900,2018,18,58,76,37,129,2415,2037,223,0.843478261,0.092339545,100,23.784494086728,76.3469119579501,3.14686762452901,8.0681308830121,2.84718472338128,0.100001503063682,0.71017065094293,1.30038779061466,0.031654879450798,0.0129970563575625,-0.488825708627701
11000,2010,254,64,321,37,129,2473,1072,1347,0.433481601,0.544682572,100,79.1342260977888,19.9626284646528,12.9796611540172,18.8553188330488,5.9695923887697,0.100006500934682,1.66453660884247,2.72110606828862,0.368767023086548,0.856020212173462,0.118421263992786
11000,2011,263,58,326,37,129,2450,1167,1177,0.476326531,0.480408163,100,80.6807727690892,17.8166206685066,13.3055793641076,22.3430464701385,4.9695827264159,0.100006540791994,1.97226564983289,2.26604098666146,0.301784873008728,0.784027576446533,0.180754721164703
